fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste
1.3219,0.00639,0.0146,0.89873,0.00046,2.30079,0.95,6.54461,0.33152,1.77576,0.01114,0.88045,0.39926,0.0,0.12075,0.40998,0.0,0.0,0.0,0.58911,0.0,0.69838,0.0,0.0,0.0
1.29856,0.00503,0.00951,0.95416,0.00054,3.0622,0.88154,7.15263,0.48938,1.45636,0.01507,0.761,0.51369,0.0,0.10077,0.53797,0.0,0.0,0.0,0.72807,0.0,0.96847,0.0,0.0,0.0
1.29843,0.00655,0.01333,0.89873,0.00042,2.30079,0.95,7.81782,0.3154,1.69199,0.01291,0.83796,0.44008,0.0,0.12131,0.44655,0.0,0.0,0.0,0.57195,0.0,0.65828,0.0,0.0,0.0
1.3043,0.00673,0.01374,0.89873,0.00046,2.21907,0.92628,6.11323,0.34247,1.6825,0.01147,0.85584,0.42356,0.0,0.11716,0.42354,0.0,0.0,0.0,0.62301,0.0,0.72995,0.0,0.0,0.0
1.31844,0.00513,0.0097,0.95129,0.00047,3.38957,0.72908,6.55947,0.50724,1.67195,0.01507,0.75914,0.43245,0.0,0.06895,0.57937,0.0,0.0,0.0,0.69885,0.0,1.0,0.0,0.0,0.0
1.31551,0.00513,0.00917,0.91114,0.0006,2.87261,0.95,5.30941,0.49908,1.33914,0.0116,0.56366,0.45161,0.0,0.10835,0.50398,0.0,0.0,0.0,0.77732,0.0,1.0,0.0,0.0,0.0
1.31356,0.00663,0.01288,0.96203,0.00054,2.30079,0.69634,4.7173,0.33152,1.44095,0.01052,0.78366,0.33534,0.0,0.08932,0.42639,0.0,0.0,0.0,0.51071,0.0,0.69838,0.0,0.0,0.0
1.31704,0.00513,0.00959,0.94688,0.00054,2.9189,0.82376,6.59991,0.52055,1.41969,0.01507,0.81288,0.48902,0.0,0.1062,0.49041,0.0,0.0,0.0,0.72159,0.0,0.975,0.0,0.0,0.0
1.28716,0.00952,0.00873,0.93222,0.00051,2.67226,0.95,6.90524,0.4862,1.58405,0.01096,0.76446,0.54053,0.0,0.09529,0.51389,0.0,0.0,0.0,0.5787,0.0,0.99047,0.0,0.0,0.0
1.31594,0.00663,0.01384,0.90113,0.00047,2.30079,0.95,6.27282,0.33202,1.73935,0.01144,0.89137,0.41208,0.0,0.11716,0.43331,0.0,0.0,0.0,0.58911,0.0,0.70063,0.0,0.0,0.0
1.32286,0.00732,0.00983,0.90902,0.00049,3.27745,0.86228,6.44948,0.50836,1.64189,0.01612,0.8084,0.44035,0.0,0.09615,0.47705,0.0,0.0,0.0,0.55322,0.0,0.97271,0.0,0.0,0.0
1.33794,0.00776,0.00983,0.90254,0.00051,2.99898,0.87781,6.74161,0.52217,1.67145,0.01589,0.80534,0.4504,0.0,0.09615,0.51651,0.0,0.0,0.0,0.57002,0.0,0.99519,0.0,0.0,0.0
1.27918,0.00895,0.00983,0.92487,0.00048,2.76024,0.86265,7.8045,0.22483,1.67145,0.01589,0.69117,0.49722,0.0,0.10225,0.50583,0.0,0.0,0.0,0.41133,0.0,0.57135,0.0,0.0,0.0
1.29807,0.00848,0.00874,0.84718,0.00059,3.00466,0.87781,6.37826,0.53705,1.6647,0.01589,0.73471,0.44593,0.0,0.09348,0.50087,0.0,0.0,0.0,0.49302,0.0,0.81898,0.0,0.0,0.0
1.32131,0.00513,0.00968,0.95422,0.00054,2.9189,0.81931,6.77115,0.52611,1.442,0.01508,0.80917,0.52067,0.0,0.10687,0.50546,0.0,0.0,0.0,0.7244,0.0,0.99855,0.0,0.0,0.0
1.31281,0.00514,0.00983,0.94109,0.00053,2.98159,0.73511,5.01551,0.56378,1.64379,0.01589,0.8048,0.4504,0.0,0.10026,0.70565,0.0,0.0,0.0,0.673,0.0,1.0,0.0,0.0,0.0
1.32654,0.00776,0.00982,0.90383,0.00051,3.02085,0.89179,6.76659,0.51227,1.67145,0.01614,0.80132,0.45464,0.0,0.09625,0.51278,0.0,0.0,0.0,0.56808,0.0,0.99773,0.0,0.0,0.0
1.29895,0.00794,0.01016,0.88453,0.00048,3.03577,0.90098,6.66767,0.51674,1.7387,0.01646,0.79285,0.44386,0.0,0.09615,0.53197,0.0,0.0,0.0,0.51012,0.0,0.99519,0.0,0.0,0.0
1.30188,0.00776,0.00983,0.89649,0.00051,3.05655,0.917,6.80694,0.52223,1.68007,0.0166,0.84212,0.45794,0.0,0.09421,0.51832,0.0,0.0,0.0,0.56953,0.0,0.99773,0.0,0.0,0.0
1.30781,0.00766,0.0102,0.90968,0.00054,2.84256,0.90725,6.80608,0.52217,1.68176,0.01423,0.82375,0.45147,0.0,0.09615,0.52042,0.0,0.0,0.0,0.60986,0.0,1.0,0.0,0.0,0.0
1.30342,0.00684,0.01074,0.90383,0.0005,2.57835,0.89179,5.05774,0.57349,1.67327,0.01706,0.80132,0.45464,0.0,0.09264,0.38097,0.0,0.0,0.0,0.65247,0.0,1.0,0.0,0.0,0.0
1.32184,0.00776,0.00983,0.89454,0.0004,3.75866,0.95,8.78789,0.47627,1.4843,0.0165,0.9,0.57484,0.0,0.1008,0.62837,0.0,0.0,0.0,0.57438,0.0,1.0,0.0,0.0,0.0
1.32267,0.00743,0.0081,0.92079,0.00047,3.19948,0.95,6.21838,0.4854,1.82281,0.01813,0.8908,0.42363,0.0,0.10056,0.54312,0.0,0.0,0.0,0.57002,0.0,0.88061,0.0,0.0,0.0
1.30231,0.00667,0.0139,0.89873,0.00044,2.36991,0.95,6.33045,0.36753,1.63777,0.01109,0.85243,0.41044,0.0,0.12191,0.40888,0.0,0.0,0.0,0.58911,0.0,0.71522,0.0,0.0,0.0
1.34481,0.00707,0.00741,0.90254,0.00039,3.06703,0.77682,5.83598,0.42428,1.46962,0.01284,0.716,0.4504,0.0,0.09868,0.46652,0.0,0.0,0.0,0.47127,0.0,0.80628,0.0,0.0,0.0
1.31449,0.00777,0.00983,0.9211,0.0004,2.8257,0.88825,8.26967,0.43273,1.67145,0.01486,0.80534,0.33961,0.0,0.09166,0.51651,0.0,0.0,0.0,0.34841,0.0,0.99519,0.0,0.0,0.0
1.30158,0.00776,0.00983,0.87251,0.00055,2.99898,0.93648,7.3186,0.48899,1.40117,0.01589,0.78488,0.4504,0.0,0.10568,0.51651,0.0,0.0,0.0,0.61419,0.0,0.9504,0.0,0.0,0.0
1.32002,0.00841,0.01065,0.90254,0.00054,2.73579,0.95,6.92638,0.51688,1.55736,0.01556,0.85059,0.51949,0.0,0.099,0.51651,0.0,0.0,0.0,0.57002,0.0,0.9982,0.0,0.0,0.0
1.30266,0.00779,0.00991,0.90781,0.00051,2.97558,0.89678,6.75881,0.52249,1.67145,0.01589,0.79844,0.45486,0.0,0.09755,0.51651,0.0,0.0,0.0,0.57893,0.0,0.99565,0.0,0.0,0.0
1.30675,0.0069,0.00983,0.96638,0.00044,3.45624,0.67157,6.01615,0.4522,1.7166,0.01233,0.79875,0.46879,0.0,0.09615,0.43076,0.0,0.0,0.0,0.55384,0.0,1.0,0.0,0.0,0.0
1.29565,0.00776,0.00959,0.88427,0.00054,2.43409,0.77752,8.8033,0.52217,1.86646,0.01589,0.80534,0.42504,0.0,0.10561,0.59896,0.0,0.0,0.0,0.55293,0.0,0.99519,0.0,0.0,0.0
1.30551,0.00779,0.00718,0.90807,0.00039,3.23145,0.89379,5.2456,0.4397,1.46962,0.01214,0.72808,0.4504,0.0,0.09751,0.45969,0.0,0.0,0.0,0.46189,0.0,0.68664,0.0,0.0,0.0
1.31941,0.00685,0.00805,0.93949,0.00044,3.54513,0.80843,4.32537,0.42428,1.44125,0.01231,0.65444,0.48101,0.0,0.09868,0.46652,0.0,0.0,0.0,0.41367,0.0,0.80628,0.0,0.0,0.0
1.318,0.0069,0.00659,0.92381,0.00037,3.15259,0.71502,6.05692,0.45228,1.54248,0.01281,0.70702,0.47432,0.0,0.09304,0.47157,0.0,0.0,0.0,0.47127,0.0,0.84241,0.0,0.0,0.0
1.32035,0.00706,0.0074,0.90254,0.00039,3.16805,0.77781,5.79344,0.40755,1.40659,0.01269,0.71593,0.4504,0.0,0.09689,0.46344,0.0,0.0,0.0,0.46514,0.0,0.83703,0.0,0.0,0.0
